operating_point,pathology,threshold,n_opportunities,n_positive,fired,sensitivity,ppv,alert_rate,smoke_test
grid_0.85,Cardiomegaly,0.85,22799,974,316,0.1119,0.3449,0.0139,False
grid_0.85,Edema,0.85,22799,911,216,0.0198,0.0833,0.0095,False
grid_0.85,Emphysema,0.85,22799,1058,176,0.0217,0.1307,0.0077,False
grid_0.85,Fibrosis,0.85,22799,367,15,0.0027,0.0667,0.0007,False
grid_0.85,Pneumonia,0.85,22799,528,25,0.0019,0.04,0.0011,False
grid_0.90,Infiltration,0.9,22799,5887,75,0.0053,0.4133,0.0033,False
grid_0.90,Effusion,0.9,22799,4520,716,0.0834,0.5265,0.0314,False
grid_0.90,Atelectasis,0.9,22799,3122,94,0.0141,0.4681,0.0041,False
grid_0.90,Nodule,0.9,22799,1465,23,0.0055,0.3478,0.001,False
grid_0.90,Mass,0.9,22799,1582,112,0.0145,0.2054,0.0049,False
grid_0.90,Consolidation,0.9,22799,1768,1289,0.0899,0.1234,0.0565,False
grid_0.90,Pneumothorax,0.9,22799,2633,539,0.0687,0.3358,0.0236,False
grid_0.90,Pleural_Thickening,0.9,22799,1041,142,0.0163,0.1197,0.0062,False
grid_0.90,Cardiomegaly,0.9,22799,974,180,0.077,0.4167,0.0079,False
grid_0.90,Edema,0.9,22799,911,34,0.0044,0.1176,0.0015,False
grid_0.90,Emphysema,0.9,22799,1058,64,0.0104,0.1719,0.0028,False
grid_0.90,Fibrosis,0.9,22799,367,4,0.0,0.0,0.0002,False
grid_0.90,Pneumonia,0.9,22799,528,15,0.0019,0.0667,0.0007,False
